nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: BR,"Instituto de Botânica, São Paulo",Observaciones,66,Especies,50
País de publicación: US,Arizona State University Biocollections,Observaciones,65,Especies,29
País de publicación: US,University of Nebraska State Museum,Observaciones,63,Especies,5
País de publicación: US,Paleobiology Database,Observaciones,62,Especies,24
País de publicación: US,Berkeley Natural History Museums,Observaciones,60,Especies,1
País de publicación: BG,Biodiversity Data Journal,Observaciones,60,Especies,5
País de publicación: US,University of Tennessee Herbarium,Observaciones,60,Especies,43
País de publicación: CO,Corporación Centro de Investigación en Palma de Aceite - CENIPALMA,Observaciones,59,Especies,5
País de publicación: US,US National Plant Germplasm System,Observaciones,59,Especies,6
País de publicación: US,USDA-ARS US National Fungus Collection,Observaciones,56,Especies,38
País de publicación: CO,Instituto Tecnológico Metropolitano,Observaciones,55,Especies,37
País de publicación: CO,Universidad Icesi,Observaciones,54,Especies,35
País de publicación: CO,Fundación Jardín Botánico Joaquín Antonio Uribe de Medellín,Observaciones,52,Especies,25
País de publicación: BR,Universidade Federal do Paraná,Observaciones,51,Especies,12
País de publicación: PL,"University of Gdańsk, Dept. of Plant Taxonomy and Nature Conservation",Observaciones,49,Especies,14
País de publicación: CO,Universidad Católica de Oriente,Observaciones,47,Especies,19
País de publicación: CO,Fundación Estación Biológica Guayacanal,Observaciones,45,Especies,17
País de publicación: CO,Universidad Tecnológica de Pereira,Observaciones,45,Especies,26
País de publicación: CO,Universidad del Valle,Observaciones,45,Especies,30
País de publicación: CO,Universidad EAFIT,Observaciones,44,Especies,11
País de publicación: US,"Margaret H. Fulford Herbarium, University of Cincinnati (CINC)",Observaciones,43,Especies,28
País de publicación: FR,Musée des Confluences,Observaciones,42,Especies,19
País de publicación: AU,Centre for Australian National Biodiversity Research,Observaciones,41,Especies,10
País de publicación: CO,Proyecto de Conservación de Aguas y Tierras - ProCAT Colombia,Observaciones,39,Especies,15
País de publicación: EE,"University of Tartu, Natural History Museum and Botanical Garden",Observaciones,37,Especies,19
País de publicación: ES,Institut Botànic de Barcelona (CSIC-CMCNB),Observaciones,36,Especies,23
País de publicación: CO,Centro Nacional de Investigaciones del Café - Cenicafé,Observaciones,35,Especies,2
País de publicación: CO,InvBasa,Observaciones,35,Especies,9
País de publicación: CO,Asociación SELVA: Investigación para la Conservación en el Neotrópico,Observaciones,34,Especies,5
País de publicación: US,Louisiana State University Museum of Natural Science,Observaciones,34,Especies,26
País de publicación: ES,Museo Nacional de Ciencias Naturales (CSIC),Observaciones,32,Especies,1
País de publicación: US,Natural History Museum of Utah (UMNH),Observaciones,31,Especies,12
País de publicación: BE,Royal Belgian Institute of Natural Sciences,Observaciones,31,Especies,7
País de publicación: CO,Universidad Tecnológica del Chocó,Observaciones,29,Especies,19
País de publicación: US,Bohart Museum of Entomology,Observaciones,27,Especies,-
País de publicación: US,Cornell Plant Pathology Herbarium (CUP),Observaciones,27,Especies,15
País de publicación: NO,Norwegian University of Science and Technology,Observaciones,27,Especies,24
País de publicación: SE,University of Gothenburg,Observaciones,27,Especies,14
País de publicación: BR,Instituto Nacional de Pesquisas da Amazônia - INPA,Observaciones,26,Especies,21
País de publicación: ES,Museu de Ciències Naturals de Barcelona,Observaciones,26,Especies,7
País de publicación: US,University of Texas-Arlington,Observaciones,26,Especies,3
País de publicación: GB,"Royal Botanic Gardens, Kew",Observaciones,25,Especies,18
País de publicación: GH,"Council for Scientific and Industrial Research-Plant Genetic Resources Research Institute (CSIR-PGRRI),Ghana",Observaciones,24,Especies,4
País de publicación: US,Moore Laboratory of Zoology,Observaciones,24,Especies,16
País de publicación: SE,"Museum of Evolution, Uppsala University",Observaciones,24,Especies,20
País de publicación: US,"California State University, Long Beach",Observaciones,22,Especies,22
País de publicación: CO,Corporación CorpoGen,Observaciones,22,Especies,-
País de publicación: AR,Instituto Multidisciplinario de Biología Vegetal - IMBIV,Observaciones,22,Especies,14
País de publicación: BR,FIOCRUZ - Oswaldo Cruz Foundation,Observaciones,20,Especies,11
País de publicación: BR,Instituto Nacional da Mata Atlântica,Observaciones,20,Especies,14
País de publicación: CO,Universidad del Magdalena,Observaciones,20,Especies,-
País de publicación: CO,Universidad de la Amazonia,Observaciones,19,Especies,11
País de publicación: AR,Museo Argentino de Ciencias Naturales,Observaciones,18,Especies,11
País de publicación: AR,Museo de La Plata,Observaciones,18,Especies,6
País de publicación: DE,Senckenberg,Observaciones,18,Especies,10
País de publicación: US,"Colorado State University, C.P. Gillette Museum of Arthropod Diversity",Observaciones,17,Especies,9
País de publicación: BR,Museu Botânico Municipal,Observaciones,17,Especies,12
País de publicación: US,Northern Arizona University,Observaciones,17,Especies,13
País de publicación: CO,Aguas de Bogotá S.A. E.S.P.,Observaciones,15,Especies,9
País de publicación: CO,Asociación Colombiana de Ictiólogos,Observaciones,15,Especies,12
País de publicación: US,Cleveland Museum of Natural History,Observaciones,14,Especies,11
País de publicación: AU,Australia's Virtual Herbarium,Observaciones,13,Especies,3
País de publicación: AR,Instituto de Botánica Darwinion - CONICET,Observaciones,13,Especies,8
País de publicación: US,The University of Vermont Pringle Herbarium,Observaciones,13,Especies,9
País de publicación: GB,Birda,Observaciones,12,Especies,12
País de publicación: AT,"Natural History Museum, Vienna",Observaciones,12,Especies,9
País de publicación: US,Rancho Santa Ana Botanic Garden,Observaciones,12,Especies,8
País de publicación: DE,Zoologische Staatssammlung München/Staatliche Naturwissenschaftliche Sammlungen Bayerns,Observaciones,12,Especies,-
País de publicación: AR,Fundacion Miguel Lillo Provider,Observaciones,11,Especies,7
País de publicación: US,"Charles Gardner Shaw Mycological Herbarium, Washington State University",Observaciones,10,Especies,4
País de publicación: US,Milwaukee Public Museum,Observaciones,10,Especies,9
País de publicación: CR,Museo Nacional de Costa Rica,Observaciones,10,Especies,8
País de publicación: BR,Universidade Federal de Mato Grosso do Sul,Observaciones,10,Especies,7
País de publicación: US,Virginia Tech Insect Collection,Observaciones,10,Especies,3
País de publicación: CO,"Jardín Botánico de Cartagena ""Guillermo Piñeres""",Observaciones,9,Especies,5
País de publicación: US,Texas A&M University Biodiversity Research and Teaching Collections,Observaciones,9,Especies,2
País de publicación: BR,Universidade de São Paulo,Observaciones,9,Especies,5
País de publicación: US,University of Kentucky,Observaciones,9,Especies,3
País de publicación: US,Auburn University Museum,Observaciones,8,Especies,3
País de publicación: DE,Leibniz Institute for the Analysis of Biodiversity Change (LIB),Observaciones,8,Especies,1
País de publicación: BR,Universidade Estadual de Campinas - Instituto de Biologia,Observaciones,8,Especies,6
País de publicación: US,University of Minnesota Bell Museum,Observaciones,8,Especies,8
País de publicación: AT,Biologiezentrum Linz Oberoesterreich,Observaciones,7,Especies,7
País de publicación: US,Botanical Research Institute of Texas,Observaciones,7,Especies,5
País de publicación: US,Fairchild Tropical Botanic Garden,Observaciones,7,Especies,3
País de publicación: GB,"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow",Observaciones,7,Especies,1
País de publicación: CO,Jardín Botánico del Quindío,Observaciones,7,Especies,4
País de publicación: GB,Royal Botanic Garden Edinburgh,Observaciones,7,Especies,4
País de publicación: US,Texas A&M University S.M. Tracy Herbarium (TAES),Observaciones,7,Especies,6
País de publicación: NI,Museo Entomológico de León – MEL,Observaciones,6,Especies,1
País de publicación: BR,Museu Paraense Emílio Goeldi,Observaciones,6,Especies,5
País de publicación: NL,Natural History Museum Rotterdam,Observaciones,6,Especies,2
País de publicación: AU,Tasmanian Museum and Art Gallery,Observaciones,6,Especies,-
País de publicación: BR,Universidade Federal da Paraíba,Observaciones,6,Especies,1
País de publicación: CA,University of Alberta Museums,Observaciones,6,Especies,5
País de publicación: US,University of Arkansas,Observaciones,6,Especies,5
País de publicación: US,Georgia Museum of Natural History (GMNH),Observaciones,5,Especies,5
País de publicación: DE,Herbarium Haussknecht,Observaciones,5,Especies,2
País de publicación: US,Purdue Entomological Research Collection,Observaciones,5,Especies,2
País de publicación: EE,Tallinn Botanic Garden,Observaciones,5,Especies,5
País de publicación: CO,Asociación para el estudio y conservación de las aves acuáticas en Colombia - Calidris,Observaciones,4,Especies,3
